PEID,Affinity Bloc,People Cluster,Continent,Sub-Continent,Country,Country of Origin,People Group,Global Status of  Evangelical Christianity,Evangelical Engagement,Population,Dispersed (Yes/No),ROL,Language,Religion,Nomadic,Nomadic Type,Nomadic Description,Published Scripture,Jesus Film,Radio Broadcast,Gospel Recording,Audio Scripture,Gospel Films,Resources,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Latitude,Longitude,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,EGIDS
20229,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Dusun Segama,6,No,"1,000",,dmg,Upper Kinabatangan - (dmg),Ethnic Religions,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102779,Dusun Segama,MYS,MY,,5.313261,116.935649,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
20232,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Eastern Kadazan,6,Yes,"29,000",,dtb,Labuk-Kinabatangan Kadazan - (dtb),Ethnic Religions,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102844,"Kadazan, Eastern",MYS,MY,,5.632189,117.122379,Southeast Asian Peoples,,2,No Longer Unreached,7
9252,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Idahan Dusun,6,No,"12,000",,dbj,Ida'an - (dbj),Ethnic Religions,,,,Yes,No,No,Yes,Yes,No,3,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,103945,"Ida'an, Eraans ",MYS,MY,,5.29059,118.51493,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9258,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kalabakan Murut,5,No,"3,200",,kve,Kalabakan - (kve),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,104447,"Murut, Kalabakan",MYS,MY,,4.53605,117.31699,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
9259,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kalabit,6,No,"1,600",No,kzi,Kelabit - (kzi),Christianity - Protestant,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,104450,Kalabit ,MYS,MY,,3.4202,115.27059,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9260,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kalabuan,5,No,"12,000",,dmg,Upper Kinabatangan - (dmg),Islam - Sunni,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,116936,Kalabuan,MYS,MY,,5.43024,116.966691,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
9261,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kanowit,4,No,400,,kxn,Kanowit-Tanjong Melanau - (kxn),Ethnic Religions,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,104590,Kanowit,MYS,MY,,2.07952,112.20466,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9262,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kayaman,4,No,"1,100",,kag,Kajaman - (kag),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,104776,Kayaman ,MYS,MY,,2.708,114.045,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19336,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kedayan,0,No,"75,000",,kxd,Brunei - (kxd),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,101679,Brunei-Kadaian,MYS,MY,,4.01381,113.97275,Southeast Asian Peoples,Yes,0,Unengaged and Unreached,3
19337,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Keningau Dusun,6,No,"4,200",,gnq,Gana - (gnq),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102783,"Dusun, Keningau",MYS,MY,,5.421919,116.237392,Southeast Asian Peoples,Yes,2,No Longer Unreached,8a
9265,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kimaragan,6,No,"19,500",,kqr,Kimaragang - (kqr),Christianity - Protestant,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105007,Kimaragan ,MYS,MY,,6.61982,116.95983,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19338,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kinabatangan Sungai,5,No,"30,500",,dtb,Labuk-Kinabatangan Kadazan - (dtb),Islam,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105012,Kinabatangan Sungai,MYS,MY,,5.421292,118.135365,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
9269,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kiput,1,No,"3,900",,kyi,Kiput - (kyi),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105029,Kiput ,MYS,MY,,4.16535,114.36735,Southeast Asian Peoples,Yes,0,Unengaged and Unreached,6b
9270,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Klias River Kadazan,6,Yes,"2,100",,kqt,Klias River Kadazan - (kqt),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105061,Klias River Kadazan,MYS,MY,,5.4212,115.66206,Southeast Asian Peoples,,2,No Longer Unreached,6b
9274,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Kwijau Dusun,6,No,"11,500",,dkr,Kuijau - (dkr),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105542,Kwijau Dusun,MYS,MY,,5.471716,116.270836,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9275,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Lahanan,0,No,800,,lhn,Lahanan - (lhn),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105570,Lahanan,MYS,MY,,2.6684,113.974729,Southeast Asian Peoples,Yes,0,Unengaged and Unreached,6b
9276,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Lanas Lobu,6,No,"5,700",,ruu,Lanas Lobu - (ruu),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105627,Lanas Lobu,MYS,MY,,5.39196,116.57736,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9280,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Lara,5,No,"16,500",No,lra,Rara Bakati' - (lra),Ethnic Religions,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105648,Lara' ,MYS,MY,,1.588282,109.762725,Southeast Asian Peoples,,2,No Longer Unreached,5
9281,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Lelak,1,No,500,,zbc,Central Berawan - (zbc),Islam,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105698,Lelak,MYS,MY,,4.0704,113.8923,Southeast Asian Peoples,Yes,0,Unengaged and Unreached,8a
20131,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Lower Murut,4,No,"3,200",,tih,Timugon Murut - (tih),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105882,"Lower Murut, Bukau",MYS,MY,,5.120938,115.936275,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9289,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Madang,6,No,"3,200",,xkl,Mainstream Kenyah - (xkl),Christianity - Protestant,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105981,Madang ,MYS,MY,,3.54443,114.0389,Southeast Asian Peoples,Yes,2,No Longer Unreached,6a
18518,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Melanau,4,No,"145,000",,mel,Central Melanau - (mel),Islam - Other / Marginal,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,106531,Melanau,MYS,MY,,2.879075,112.104163,Southeast Asian Peoples,Yes,2,No Longer Unreached,6a
9300,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Millikin,6,No,"9,100",,lkj,Remun - (lkj),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,106635,Millikin,MYS,MY,,1.071046,110.678931,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
18523,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Minokok Dusun,6,No,"4,600",,mqq,Minokok - (mqq),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,106653,Minokok Dusun,MYS,MY,,5.43348,116.75851,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9305,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Murik Kayan,4,No,"2,600",,mxr,Murik (Malaysia) - (mxr),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,106923,Murik Kayan,MYS,MY,,3.590362,114.430041,Southeast Asian Peoples,Yes,2,No Longer Unreached,8a
9306,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Narom,4,No,"5,500",,nrm,Narom - (nrm),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,107101,Narom,MYS,MY,,4.42115,114.01092,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9243,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Orang Kuala,1,Yes,"4,500",,dup,Duano - (dup),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102737,Duano ,MYS,MY,,1.679179,103.150424,Southeast Asian Peoples,,1,Engaged yet Unreached,6a
18226,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Pandewan Murut,4,No,"2,800",,plz,Paluan - (plz),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,107831,Pandewan Murut,MYS,MY,,5.132922,116.318054,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9313,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Peluan,5,No,"8,100",,plz,Paluan - (plz),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,107964,Peluan ,MYS,MY,,5.154684,116.339219,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
18231,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Penan,5,No,"17,000",,pez,Eastern Penan - (pez),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,107968,"Penan, Eastern",MYS,MY,,3.795627,114.73754,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9319,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Rejang Punan,5,No,"1,000",,pna,Punan Bah-Biau - (pna),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108174,Punan Bah-Biau,MYS,MY,,2.077,113.417,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9320,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Rungus Dusun,6,Yes,"57,000",,drg,Rungus - (drg),Ethnic Religions,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108445,Rungus Dusun,MYS,MY,,6.83989,116.74264,Southeast Asian Peoples,,2,No Longer Unreached,6b
9321,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Saban,6,No,"1,600",No,snv,Sa'ban - (snv),Ethnic Religions,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108485,Saban ,MYS,MY,,3.204433,115.403563,Southeast Asian Peoples,,2,No Longer Unreached,6b
9324,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sarawak Dayak,6,No,"43,500",,sne,Bau Bidayuh - (sne),Ethnic Religions,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108720,Sarawak Dayak ,MYS,MY,,1.54467,109.98532,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9325,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sea Dayak,6,Yes,"639,000",No,iba,Iban - (iba),Ethnic Religions,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,103933,Iban ,MYS,MY,,1.82601,112.46189,Southeast Asian Peoples,,2,No Longer Unreached,3
18247,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sebuyau,4,No,"20,500",,snb,Sebuyau - (snb),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108782,Sebuyau ,MYS,MY,,1.42104,110.48038,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
18249,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sekapan,6,No,"1,700",,skp,Sekapan - (skp),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108797,Sekapan,MYS,MY,,2.615942,113.721433,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
18250,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Selekau,5,No,"8,700",,knx,Kendayan - (knx),Ethnic Religions,,,,Yes,Yes,No,Yes,No,No,3,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108812,Selekau,MYS,MY,,1.645736,109.778376,Southeast Asian Peoples,Yes,2,No Longer Unreached,3
9330,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,Indonesia,Selungai Murut,6,No,550,Yes,slg,Selungai Murut - (slg),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108815,Selungai Murut,MYS,MY,ID,4.43777,116.41825,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9334,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sembakung Murut,5,No,"9,700",No,sbr,Sembakung Murut - (sbr),Ethnic Religions,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108823,Sembakung Murut,MYS,MY,,4.39,116.456,Southeast Asian Peoples,Yes,2,No Longer Unreached,6a
9338,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Serudung Murut,5,No,"1,800",,srk,Serudung Murut - (srk),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108871,Serudung Murut,MYS,MY,,4.39954,117.27931,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9339,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sian,4,No,150,,spg,Sian - (spg),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108979,Sian,MYS,MY,,2.66154,113.84266,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
19270,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sibop Kenyah,6,No,"4,000",,sib,Sebop - (sib),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108984,"Kenyah, Sibop",MYS,MY,,3.42701,114.1783,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9341,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Siduan,4,No,950,,sdx,Sibu Melanau - (sdx),Islam,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,108989,Siduan ,MYS,MY,,2.26758,111.76305,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
19271,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sinabu,6,No,"1,800",,dmg,Upper Kinabatangan - (dmg),Christianity - Protestant,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109021,Sinabu,MYS,MY,,5.1042,118.2657,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
19275,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sonsogon,5,No,"4,300",,kqr,Kimaragang - (kqr),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109418,Sonsogon,MYS,MY,,6.5031,116.8621,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19276,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Southern Kota Marudu,6,No,"2,600",,grm,Kota Marudu Talantang - (grm),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109487,Southern Kota Marudu ,MYS,MY,,6.461706,116.826945,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19277,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,Indonesia,Southern Murut,6,No,"30,500",Yes,lnd,Lundayeh - (lnd),Christianity - Roman Catholic,,,,Yes,No,No,Yes,Yes,No,3,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109497,"Murut, Lundayeh",MYS,MY,ID,4.829759,115.278605,Southeast Asian Peoples,,2,No Longer Unreached,5
19279,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sugut Kadazan,6,Yes,"17,500",,kzs,Sugut Dusun - (kzs),Ethnic Religions,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102784,"Dusun, Sugut",MYS,MY,,6.14235,117.17608,Southeast Asian Peoples,,2,No Longer Unreached,6b
19280,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Sungai Dusun,6,No,"55,500",,dtp,Kadazan Dusun - (dtp),Christianity - Roman Catholic,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109607,"Sungai Dusun, Kadazan",MYS,MY,,5.56,116.483,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9348,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tagal Murut,6,No,"67,000",,mvv,Tagal Murut - (mvv),Christianity - Roman Catholic,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109691,"Murut, Tagal",MYS,MY,,4.60671,116.20407,Southeast Asian Peoples,Yes,2,No Longer Unreached,6a
19282,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tambanua,6,No,"35,000",,txa,Tombonuo - (txa),Islam,,,,Yes,No,No,Yes,Yes,No,3,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109779,Tambanua ,MYS,MY,,6.2892,117.32188,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19283,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tambunan Dusun,6,No,"22,500",,dtp,Kadazan Dusun - (dtp),Christianity - Protestant,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102785,"Dusun, Tambunan",MYS,MY,,5.68284,116.3726,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19284,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tampias Lobu,6,No,"3,800",,low,Tampias Lobu - (low),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109794,Tampias Lobu,MYS,MY,,5.72467,116.7886,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9353,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tanjong,4,No,225,,kxn,Kanowit-Tanjong Melanau - (kxn),Ethnic Religions,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109829,Tanjong,MYS,MY,,2.0513,112.313,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19285,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tatana,5,No,"12,500",,txx,Tatana - (txx),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,109873,Tatana,MYS,MY,,5.49808,115.55311,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9358,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tempasuk Dusun,6,No,"13,500",,dtp,Kadazan Dusun - (dtp),Ethnic Religions,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,102780,Dusun Tempasuk,MYS,MY,,6.36389,116.54476,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9361,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Timogun Murut,5,No,"17,500",,tih,Timugon Murut - (tih),Islam,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110065,"Murut, Timogun",MYS,MY,,5.122237,115.937834,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
9362,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tobilang,6,No,"4,300",,tgb,Tobilung - (tgb),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110116,Tobilang,MYS,MY,,6.56097,116.67019,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19319,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tring,5,No,800,,tgq,Tring - (tgq),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110191,Tringus,MYS,MY,,3.976537,114.650837,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19320,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tuaran Dusun,6,No,"10,500",,dtr,Lotud - (dtr),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110230,Tuaran Dusun,MYS,MY,,6.13732,116.23239,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
19321,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tudan Dusun,6,No,"16,000",,dtp,Kadazan Dusun - (dtp),Ethnic Religions,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110243,"Tudan Dusun, Kadazan",MYS,MY,,5.9863,116.1482,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19322,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tungara,6,No,650,,bnb,Bookan - (bnb),Christianity - Roman Catholic,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110281,Tungara ,MYS,MY,,5.284827,116.379074,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
19323,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Tutoh Kenyah,6,No,"1,400",,ttw,Long Wat - (ttw),Christianity - Roman Catholic,,,,No,No,No,Yes,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110323,"Kenyah, Tutoh",MYS,MY,,3.871184,114.637557,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19324,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,Brunei,Tutong,6,No,"26,500",Yes,bsb,Brunei Bisaya - (bsb),Ethnic Religions,,,,Yes,No,No,No,No,No,1,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110324,Tutong,MYS,MY,BX,4.54789,114.85791,Southeast Asian Peoples,Yes,2,No Longer Unreached,5
19326,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Ukit,4,No,275,,umi,Ukit - (umi),Ethnic Religions,,,,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,110374,Ukit,MYS,MY,,2.731,113.048,Southeast Asian Peoples,Yes,2,No Longer Unreached,6b
19329,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,Upper Kinabatangan,6,No,"11,500",,dmg,Upper Kinabatangan - (dmg),Christianity - Protestant,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105013,"Kinabatangan, Upper",MYS,MY,,5.44463,116.968587,Southeast Asian Peoples,Yes,2,No Longer Unreached,7
19332,Malay Peoples,Borneo-Kalimantan,Asia,South-Eastern Asia,Malaysia,,West Coast Bajau,1,Yes,"80,000",,bdr,West Coast Bajau - (bdr),Islam,Yes,3,Hunter-Gatherers,No,No,No,No,No,No,0,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A008,C0059,105628,"Bajau, West Coast",MYS,MY,,6.00631,116.12438,Southeast Asian Peoples,,1,Engaged yet Unreached,6b
